iter	Passed	Remaining
415	2590	59688
416	2596	59670
417	2602	59647
418	2607	59628
419	2612	59598
420	2618	59578
421	2623	59552
422	2629	59533
423	2635	59526
424	2641	59519
425	2647	59506
426	2653	59487
427	2659	59473
428	2664	59441
429	2669	59413
430	2675	59397
431	2681	59382
432	2686	59364
433	2692	59342
434	2697	59319
435	2703	59298
436	2708	59271
437	2714	59254
438	2720	59242
439	2725	59222
440	2731	59200
441	2737	59199
442	2743	59179
443	2748	59158
444	2754	59145
445	2760	59134
446	2767	59137
447	2772	59113
448	2777	59085
449	2783	59066
450	2788	59044
451	2794	59023
452	2799	59007
453	2805	58989
454	2810	58965
455	2816	58956
456	2822	58929
457	2828	58922
458	2833	58901
459	2838	58878
460	2844	58864
461	2850	58852
462	2855	58823
463	2861	58803
464	2866	58787
465	2872	58768
466	2878	58752
467	2884	58749
468	2890	58735
469	2895	58713
470	2901	58692
471	2906	58669
472	2911	58647
473	2917	58628
474	2922	58609
475	2928	58595
476	2933	58566
477	2939	58555
478	2944	58535
479	2950	58520
480	2955	58496
481	2962	58491
482	2968	58486
483	2974	58484
484	2980	58478
485	2986	58470
486	2992	58452
487	2998	58451
488	3004	58444
489	3010	58436
490	3017	58430
491	3022	58419
492	3029	58418
493	3035	58406
494	3041	58394
495	3046	58374
496	3051	58350
497	3056	58326
498	3062	58319
499	3068	58295
500	3073	58273
501	3078	58254
502	3084	58238
503	3090	58224
504	3097	58231
505	3102	58220
506	3109	58219
507	3115	58206
508	3121	58195
509	3127	58186
510	3133	58184
511	3139	58170
512	3145	58166
513	3150	58148
514	3156	58129
515	3162	58124
516	3168	58113
517	3174	58108
518	3180	58098
519	3186	58089
520	3192	58086
521	3198	58081
522	3205	58091
523	3212	58094
524	3218	58090
525	3224	58074
526	3229	58057
527	3235	58049
528	3242	58044
529	3247	58034
530	3253	58023
531	3259	58004
532	3264	57990
533	3270	57967
534	3275	57956
535	3281	57944
536	3287	57927
537	3293	57916
538	3299	57913
539	3304	57892
540	3310	57880
541	3316	57869
542	3321	57849
543	3326	57829
544	3332	57810
545	3338	57800
546	3343	57777
547	3348	57763
548	3354	57755
549	3361	57748
550	3366	57734
551	3372	57723
552	3378	57710
553	3383	57697
554	3389	57689
555	3395	57678
556	3401	57661
557	3406	57643
558	3412	57626
559	3417	57609
560	3423	57594
561	3429	57586
562	3434	57569
563	3439	57549
564	3446	57546
565	3451	57532
566	3456	57510
567	3462	57491
568	3468	57484
569	3473	57467
570	3479	57457
571	3485	57450
572	3491	57436
573	3497	57435
574	3503	57432
575	3509	57419
576	3515	57409
577	3521	57402
578	3527	57400
579	3534	57398
580	3539	57380
581	3545	57368
582	3551	57362
583	3557	57364
584	3563	57354
585	3569	57338
586	3575	57333
587	3580	57311
588	3585	57291
589	3591	57275
590	3596	57261
591	3601	57237
592	3607	57221
593	3612	57203
594	3618	57193
595	3624	57188
596	3629	57173
597	3635	57159
598	3641	57148
599	3647	57140
600	3652	57128
601	3659	57122
602	3664	57111
603	3670	57100
604	3675	57083
605	3682	57077
606	3687	57066
607	3693	57052
608	3698	57039
609	3704	57022
610	3709	57009
611	3716	57006
612	3722	56997
613	3727	56986
614	3733	56978
615	3740	56979
616	3746	56978
617	3752	56966
618	3758	56956
619	3764	56949
620	3769	56934
621	3775	56926
622	3781	56917
623	3787	56903
624	3793	56896
625	3798	56882
626	3804	56867
627	3810	56861
628	3815	56845
629	3820	56824
630	3826	56812
631	3832	56805
632	3837	56792
633	3843	56776
634	3848	56761
635	3854	56750
636	3860	56738
637	3865	56724
638	3871	56711
639	3876	56697
640	3882	56688
641	3888	56686
642	3894	56667
643	3899	56653
644	3906	56653
645	3911	56637
646	3917	56629
647	3923	56618
648	3928	56601
649	3934	56595
650	3940	56582
651	3946	56580
652	3952	56572
653	3957	56560
654	3963	56552
655	3969	56540
656	3975	56532
657	3980	56519
658	3986	56506
659	3991	56491
660	3997	56483
661	4003	56471
662	4009	56459
663	4014	56449
664	4020	56438
665	4026	56431
666	4032	56418
667	4038	56414
668	4043	56402
669	4049	56390
670	4055	56379
671	4060	56363
672	4066	56358
673	4072	56348
674	4078	56344
675	4084	56341
676	4090	56335
677	4096	56327
